#L TT           EE
450 2.879499E-01 5.712371E-01
451 2.877092E-01 5.783976E-01
452 2.913330E-01 5.806798E-01
453 2.931929E-01 5.828270E-01
454 2.958714E-01 5.909168E-01
455 2.976133E-01 5.945681E-01
456 3.004600E-01 5.978599E-01
457 3.040051E-01 6.054025E-01
458 3.060193E-01 6.145544E-01
459 3.071097E-01 6.153912E-01
460 3.105780E-01 6.215902E-01
461 3.141069E-01 6.234396E-01
462 3.149106E-01 6.261468E-01
463 3.168069E-01 6.362703E-01
464 3.191234E-01 6.368753E-01
465 3.212546E-01 6.446428E-01
466 3.252445E-01 6.514288E-01
467 3.265148E-01 6.514479E-01
468 3.277461E-01 6.586795E-01
469 3.318024E-01 6.611912E-01
470 3.352005E-01 6.655862E-01
471 3.391910E-01 6.704986E-01
472 3.399776E-01 6.786713E-01
473 3.435328E-01 6.860090E-01
474 3.456776E-01 6.900302E-01
475 3.479878E-01 6.896974E-01
476 3.500916E-01 7.005480E-01
477 3.532509E-01 7.033924E-01
478 3.565014E-01 7.152473E-01
479 3.609919E-01 7.122770E-01
480 3.606524E-01 7.196810E-01
481 3.645371E-01 7.242731E-01
482 3.659040E-01 7.342979E-01
483 3.707563E-01 7.356066E-01
484 3.717661E-01 7.450110E-01
485 3.739165E-01 7.476287E-01
486 3.770699E-01 7.593225E-01
487 3.820865E-01 7.620694E-01
488 3.843100E-01 7.670222E-01
489 3.860434E-01 7.693487E-01
490 3.897628E-01 7.762564E-01
491 3.951527E-01 7.838897E-01
492 3.967950E-01 7.857119E-01
493 3.971924E-01 7.958116E-01
494 4.007888E-01 8.020730E-01
495 4.040599E-01 8.129556E-01
496 4.064509E-01 8.081790E-01
497 4.106463E-01 8.206419E-01
498 4.125633E-01 8.216400E-01
499 4.165893E-01 8.354944E-01
500 4.182942E-01 8.419261E-01
501 4.225641E-01 8.444650E-01
502 4.282209E-01 8.492406E-01
503 4.285403E-01 8.569832E-01
504 4.326895E-01 8.659499E-01
505 4.382942E-01 8.748121E-01
506 4.416462E-01 8.760167E-01
507 4.433584E-01 8.827877E-01
508 4.463924E-01 8.964467E-01
509 4.513768E-01 8.973662E-01
510 4.531266E-01 8.999961E-01
511 4.580169E-01 9.206448E-01
512 4.582551E-01 9.153628E-01
513 4.625006E-01 9.240811E-01
514 4.662591E-01 9.310355E-01
515 4.688498E-01 9.424054E-01
516 4.719642E-01 9.425698E-01
517 4.767341E-01 9.542722E-01
518 4.809638E-01 9.599007E-01
519 4.858165E-01 9.698947E-01
520 4.880708E-01 9.689312E-01
521 4.933096E-01 9.881056E-01
522 4.969299E-01 9.940587E-01
523 5.022542E-01 9.945492E-01
524 5.052587E-01 1.012857E+00
525 5.066290E-01 1.013311E+00
526 5.109588E-01 1.024563E+00
527 5.133692E-01 1.030684E+00
528 5.191860E-01 1.038522E+00
529 5.236156E-01 1.039028E+00
530 5.275730E-01 1.045315E+00
531 5.271581E-01 1.058292E+00
532 5.369359E-01 1.063271E+00
533 5.383346E-01 1.079484E+00
534 5.436658E-01 1.082153E+00
535 5.462449E-01 1.099519E+00
536 5.510368E-01 1.101621E+00
537 5.569496E-01 1.108259E+00
538 5.584737E-01 1.111877E+00
539 5.642929E-01 1.121901E+00
540 5.687116E-01 1.133758E+00
541 5.739601E-01 1.134865E+00
542 5.783775E-01 1.144461E+00
543 5.852593E-01 1.161338E+00
544 5.856572E-01 1.167213E+00
545 5.899986E-01 1.174171E+00
546 5.904792E-01 1.183481E+00
547 5.947859E-01 1.199379E+00
548 5.985031E-01 1.199202E+00
549 6.041755E-01 1.217405E+00
550 6.126091E-01 1.221439E+00
551 6.167799E-01 1.230312E+00
552 6.191183E-01 1.237332E+00
553 6.276647E-01 1.249122E+00
554 6.286535E-01 1.259803E+00
555 6.315120E-01 1.267378E+00
556 6.384498E-01 1.280028E+00
557 6.441901E-01 1.287534E+00
558 6.534161E-01 1.289200E+00
559 6.519172E-01 1.308177E+00
560 6.590416E-01 1.312006E+00
561 6.624783E-01 1.326757E+00
562 6.697213E-01 1.332151E+00
563 6.699672E-01 1.348921E+00
564 6.780271E-01 1.356613E+00
565 6.802053E-01 1.364746E+00
566 6.859773E-01 1.374672E+00
567 6.931657E-01 1.385458E+00
568 6.963284E-01 1.390546E+00
569 6.976301E-01 1.398017E+00
570 7.055756E-01 1.406751E+00
571 7.090116E-01 1.421441E+00
572 7.151934E-01 1.430775E+00
573 7.236603E-01 1.450767E+00
574 7.263624E-01 1.464942E+00
575 7.352863E-01 1.469072E+00
576 7.436028E-01 1.471621E+00
577 7.408954E-01 1.492037E+00
578 7.474041E-01 1.499769E+00
